#      ux        uy        KI         Px        Py
1.900e-05 4.064e-07 4.038e+00 9.512e-01 -5.225e-01
3.800e-04 8.127e-06 8.077e+01 1.902e+01 -1.046e+01
7.601e-04 1.625e-05 1.615e+02 3.804e+01 -2.093e+01
1.140e-03 2.438e-05 2.423e+02 5.706e+01 -3.137e+01
1.520e-03 3.251e-05 3.231e+02 7.606e+01 -4.199e+01
1.900e-03 4.064e-05 4.038e+02 9.503e+01 -5.277e+01
2.280e-03 4.876e-05 4.846e+02 1.140e+02 -6.332e+01
2.660e-03 5.689e-05 5.654e+02 1.330e+02 -7.387e+01
3.040e-03 6.502e-05 6.462e+02 1.520e+02 -8.443e+01
3.420e-03 7.314e-05 7.269e+02 1.708e+02 -9.626e+01
3.428e-03 7.331e-05 7.285e+02 1.711e+02 -9.648e+01
3.436e-03 7.347e-05 7.302e+02 1.715e+02 -9.669e+01
3.443e-03 7.363e-05 7.318e+02 1.719e+02 -9.690e+01
3.451e-03 7.379e-05 7.334e+02 1.723e+02 -9.712e+01
3.458e-03 7.396e-05 7.350e+02 1.727e+02 -9.733e+01
3.466e-03 7.412e-05 7.366e+02 1.730e+02 -9.755e+01
3.474e-03 7.428e-05 7.382e+02 1.734e+02 -9.776e+01
3.481e-03 7.444e-05 7.398e+02 1.738e+02 -9.797e+01
3.489e-03 7.461e-05 7.415e+02 1.742e+02 -9.819e+01
3.496e-03 7.477e-05 7.431e+02 1.746e+02 -9.840e+01
3.504e-03 7.493e-05 7.447e+02 1.749e+02 -9.862e+01
3.512e-03 7.509e-05 7.463e+02 1.753e+02 -9.883e+01
3.519e-03 7.526e-05 7.479e+02 1.757e+02 -9.904e+01
3.527e-03 7.542e-05 7.495e+02 1.761e+02 -9.926e+01
3.534e-03 7.558e-05 7.512e+02 1.696e+02 -1.406e+02
3.542e-03 7.575e-05 7.528e+02 1.699e+02 -1.409e+02
